im feeling rather rotten so im not very ambitious right now	0
im updating my blog because i feel shitty	0
i never make her separate from me because i don t ever want her to feel like i m ashamed with her	0
i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived	1
i was feeling a little vain when i did this one	0
i cant walk into a shop anywhere where i do not feel uncomfortable	4
i felt anger when at the end of a telephone call	3
i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia	1
i like to have the same breathless feeling as a reader eager to see what will happen next	1
i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer	3
i don t feel particularly agitated	4
i feel beautifully emotional knowing that these women of whom i knew just a handful were holding me and my baba on our journey	0
i pay attention it deepens into a feeling of being invaded and helpless	4
i just feel extremely comfortable with the group of people that i dont even need to hide myself	1
i find myself in the odd position of feeling supportive of	2
i was feeling as heartbroken as im sure katniss was	0
i feel a little mellow today	1
i feel like my only role now would be to tear your sails with my pessimism and discontent	0
i feel just bcoz a fight we get mad to each other n u wanna make a publicity n let the world knows about our fight	3
i feel like reds and purples are just so rich and kind of perfect	1
im not sure the feeling of loss will ever go away but it may dull to a sweet feeling of nostalgia at what i shared in this life with my dad and the luck i had to have a dad for years	0
i feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are a part of this little space	1
i survey my own posts over the last few years and only feel pleased with vague snippets of a few of them only feel that little bits of them capture what its like to be me or someone like me in dublin in the st century	1
i also tell you in hopes that anyone who is still feeling stigmatized or ashamed of their mental health issues will let go of the stigma let go of the shame	0
i don t feel guilty like i m not going to be able to cook for him	0
i hate it when i feel fearful for absolutely no reason	4
i am feeling outraged it shows everywhere	3
i stole a book from one of my all time favorite authors and now i feel like a rotten person	0
i do feel insecure sometimes but who doesnt	4
i highly recommend visiting on a wednesday if youre able because its less crowded so you get to ask the farmers more questions without feeling rude for holding up a line	3
ive been missing him and feeling so restless at home thinking of him	4
i posted on my facebook page earlier this week ive been feeling a little grumpy and out of sorts the past few days	3
i start to feel emotional	0
i feel so cold a href http irish	3
i feel like i m defective or something for not having baby fever	0
i feel more virtuous than when i eat veggies dipped in hummus	1
i feel very honoured to be included in a magzine which prioritises health and clean living so highly im curious do any of you read magazines concerned with health and clean lifestyles such as the green parent	1
